Plaque	Well	Starting fly	Death before 29C	Death after 29C	Total live fly	Bloating	Percent Bloating	Number of eggs	Tumor presence	Tumor percent corrected	Percent survival	Comments	RackNo	RackPos	CATNUM	mol weight Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description
4	6F	4	0	1	3	0	0	30		0			04	6F	D8696	400.48448	"DMH4 
"		Kinase/Phosphotase	Enzyme	inhibitor	VEGF	DMH4 is a potent VEGF inhibitor and an angiogenesis inhbitor
4	6G	4	0	1	3	1	0.333333333	30		0			04	6G	C5982	256.69363	7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine		Adenosine		Antagonist	A1	A1 adenosine receptor antagonist
4	6H	4	0	0	1	0	0	35		0			04	6H	C6019	344.84719	Clotrimazole	1-(o-Chlorotrityl)imidazole	K+ Channel		Inhibitor	Ca2+-activated K+ channel	Specific inhibitor of Ca2+-activated K+ channels
4	7A	4	0	1	3	2	0.666666667	30		0			04	7A	C6022	323.86919	Cyproheptadine hydrochloride		Serotonin		Antagonist	5-HT2	5-HT2 serotonin receptor antagonist
4	7B	4	0	0	4	4	1	15		0			04	7B	G5794	351.36512	GR 79236X	N-[(1S, trans)-2-Hydroxycyclopentyl]adenosine	Adenosine		Agonist	A1	A1 adenosine receptor agonist.
4	7C	4	0	1	3	2	0.666666667	15		0			04	7C	C6048	493.52047	Cefmetazole sodium	CS-1170; SKF-83088	Antibiotic			Cell wall synthesis	Semi-synthetic antibiotic derived from cephamycin C; interferes with cell wall synthesis
4	7D	4	0	1	3	3	1	5		0			04	7D	C6305	326.83193	Clozapine	8-Chloro-11-(4-methyl)-1-piperazinyl)-5H-dibenzo[b,e][1,4]diazepine	Dopamine		Antagonist	D4 > D2,D3	Atypical neuroleptic agent which display greater affinity for the D4 dopamine receptors over D2 or D3
4	7E	4	0	0	4	0	0	30		0			04	7E	C6506	199.63855	(±)-p-Chlorophenylalanine	p-CPA	Neurotransmission	Enzyme	Inhibitor	Tryptophan hydroxylase	Depletes brain serotonin by irreversible inhibition of tryptophan hydroxylase.
4	7F	4	0	2	2	2	1	20		0			04	7F	C6628	515.87164	Chloroquine diphosphate		DNA		Intercalator	DNA	Antimalarial; anti-amoebic; anti-inflammatory; binds strongly to double-stranded DNA
4	7G	4	0	1	2	1	0.5	45		0			04	7G	C6643	242.70455	Clofibrate		Lipid	Enzyme	Modulator	Lipoprotein lipase	Antihyperlipoproteinemic; increases lipoprotein lipase activity, thus enhancing the rate of intravascular catabolism of ULDL to IDL and LDL
4	7H	4	0	0	0	0	0	10		0			04	7H	C6645	279.68203	Cytosine-1-beta-D-arabinofuranoside hydrochloride	Arabinocytidine hydrochloride; Arabinosylcytosine hydrochloride; Ara-C hydrochloride	DNA Metabolism		Inhibitor		Selective inhibitor of DNA synthesis
4	8A	4	0	0	4	3	0.75	10		0			04	8A	M5793	206.63317	3-Morpholinosydnonimine hydrochloride	3-(4-Morpholinyl)sydnone imine hydrochloride	Nitric Oxide		Donor		Liberates nitric oxide (NO) spontaneously when in solution, activating guanylyl cyclase and causing an increase in cyclic-GMP. This product is a vasodilator and inhibits platelet aggregation.
4	8B	4	0	0	3	2	0.666666667	30		0			04	8B	C6895	367.81353	Cefaclor		Antibiotic			Cell wall synthesis	Semi-synthetic cephalosporin antibiotic; interferes with cell wall synthesis
4	8C	4	0	2	2	1	0.5	30		0			04	8C	C7005	102.09347	DL-Cycloserine	4-amino-3-isoxazolidinone	Sphingolipid	Enzyme	Inhibitor	Ketosphinganine synthase,  Alanine aminotransferase	Alanine aminotransferase inhibitor; blocks sphingosine biosynthesis by inhibition of ketosphinganine synthetase
4	8D	4	0	1	3	3	1	50		0		1 mouche est morte et bloating	04	8D	C7041	317.21776	McN-A-343	(4-Hydroxy-2-butynyl)-1-trimethylammonium-m-chlorocarbanilate chloride	Cholinergic		Agonist	M1	M1 muscarinic acetylcholine receptor agonist.
4	8E	4	0	2	1	0	0	25		0		1 mouche est morte et bloating	04	8E	C7230	373.88618	N-(2-[4-(4-Chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide		Dopamine		Agonist	D4	Selective D4 dopamine receptor agonist
4	8F	4	0	1	3	3	1	30		0			04	8F	C7255	225.20358	Cystamine dihydrochloride	Decarboxycystine dihydrochloride	Glutamate	Enzyme	Inhibitor	Transglutaminase	Transglutaminase inhibitor; substrate analog
4	8G	4	0	0	3	2	0.666666667	25		0			04	8G	C7291	351.32253	Clomipramine hydrochloride	Anafranil hydrochloride; Chloripramine	Serotonin		Inhibitor	Reuptake	Serotonin reuptake inhibitor; antidepressant
4	8H	4	0	0	0	0	0	15		0			04	8H	C7522	523.63474	Calcimycin	A23187; Calcium ionophore A23187	Intracellular Calcium			Ca2+	Ca2+ ionophore used to potentiate responses to NMDA, but not quisqualate glutamate receptors
4	9A	4	0	0	4	3	0.75	10		0			04	9A	C7632	196.20474	Cantharidin	Cantharidine	Phosphorylation	Enzyme	Inhibitor	PP2A	Protein phosphatase 2A inhibitor
4	9B	6	0	0	6	5	0.833333333	20		0			04	9B	C7861	405.31354	Citalopram hydrobromide	1-[3-(Dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-5-isobenzofurancarbonitrile hydrobromide	Serotonin		Inhibitor	Reuptake	Selective serotonin reuptake inhibitor
4	9C	4	0	1	4	1	0.25	40		0			04	9C	C7897	266.55915	Clonidine hydrochloride		Adrenoceptor		Agonist	alpha2	alpha2 Adrenoceptor agonist; antihypertensive
4	9D	4	0	2	3	1	0.333333333	10		0			04	9D	C7912	477.45302	Cefotaxime sodium	Cefotaxim sodium	Antibiotic			Cell wall synthesis	Broad spectrum third generation cephalosporin antibiotic; interferes with cell wall synthesis
4	9E	4	1	0	3	2	0.666666667	60		0			04	9E	C7971	342.44182	Cilostamide	OPC 3689	Cyclic Nucleotides	Enzyme	Inhibitor	PDE III	cGMP-inhibited phosphodieserase inhibitor (PDE III)
4	9F	4	0	1	4	3	0.75	40		0			04	9F	C8011	183.1216	Chelidamic acid	4-Hydroxypyridine-2,6-dicarboxylic acid	Glutamate	Enzyme	Inhibitor	L-glutamic decarboxylase	L-glutamic decarboxylase inhibitor
4	9G	4	0	1	0	0	#DIV/0!	30		0			04	9G	C8031	335.36572	N6-Cyclopentyladenosine	CPA	Adenosine		Agonist	A1	Selective A1 adenosine receptor agonist
4	9H	4	0	1	1	0	0	5		0			04	9H	C8088	214.22008	Cantharidic Acid		Phosphorylation	Enzyme	Inhibitor	PP1 / PP2A	Protein phosphatase 1 (PP1) and 2A (PP2A) inhibitor
4	10A	4	0	1	2	1	0.5	15		0			04	10A	C8138	355.33235	Chlorpromazine hydrochloride		Dopamine		Antagonist		Dopamine receptor antagonist; anti-emetic; antipsychotic
4	10B	4	0	1	2	1	0.5	50		0			04	10B	C8145	554.53653	Cefsulodin sodium salt hydrate	Sulcephalosporin	Antibiotic			Cell wall synthesis	Third generation cephalosporin antibiotic; interferes with cell wall synthesis
4	10C	4	0	1	4	3	0.75	15		0			04	10C	C8221	284.31467	Caffeic acid phenethyl ester	CAPE	Cell Cycle		Inhibitor	NFkB	NFkB inhibitor
4	10D	5	0	2	3	2	0.666666667	55		0			04	10D	I0160	299.35099	Imipenem monohydrate	Primaxin monohydrate, Tienam monohydrate, (5R,6S)-6-[(1R)-1-Hydroxyethyl]-3-[[2-[(iminomethyl)amino]ethyl]thio]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid monohydrate	Antibiotic				broad spectrum beta-lactam antibiotic
4	10E	4	0	2	2	0	0	25		0		1 mouche est morte et bloating	04	10E	C8395	349.41153	Cephradine	Cefradin; SQ-11436	Antibiotic			Cell wall synthesis	Semisynthetic cephalosporin antibiotic; interferes with cell wall synthesis
4	10F	4	0	0	7	5	0.714285714	15		0			04	10F	A9361	298.38262	Artemether 	Dihydroartemisinin methyl ether, Dihydroqinghaosu methyl ether, SM-224	Immunomodulators and Antib				Artemether is a methyl ether derivative of artemisinin. It is used against multi-drug resistant strains of falciparum malaria.
4	10G	4	0	1	1	0	0	25		0			04	10G	C8645	262.2239	Cinoxacin	1-Ethyl-1,4-dihydro-4-oxo[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid 	Antibiotic	Enzyme	Inhibitor		Quinolone antibacterial; enzyme inhibitor
4	10H	4	0	0	0	0	0	25		0			04	10H	D6321	243.69213	Droxinostat	4-(4-Chloro-2-methylphenoxy)-N-hydroxybutanamide	Gene Regulation	Enzyme	Inhibitor	HDAC3, HDAC6, and HDAC8	"

Droxinostat is a selective inhibitor of HDAC3, HDAC6, and HDAC8. 

Droxinostat is a selective inhibitor of HDAC3, HDAC6, and HDAC8"
4	11A	4	0	0	1	1	1	25		0			04	11A	C8773	294.18019	Centrophenoxine hydrochloride	Meclofenoxate hydrochloride	Nootropic				Nootropic; cholinergic drug
4	11B	4	0	0	3	1	0.333333333	40		0			04	11B	C8903	459.97455	Clemastine fumarate		Histamine		Antagonist	H1	H1 Histamine receptor antagonist
4	11C	4	1	0	2	2	1	40		0			04	11C	L5420	528.95464	Lumefantrine  	(9Z)-2,7-Dichloro-9-[(4-chlorophenyl)methylene]-?-[(dibutylamino)methyl]-9H-fluorene-4-methanol, Benflumetol, CPG-56695	"
Immunomodulators and Antibiotics
"				Lumefantrine is is an antimalarial for the treatment of multi-drug resistant strains of falciparum malaria.
4	11D	4	0	0	4	4	1	15		0			04	11D	C9510	110.11352	Pyrocatechol	1,2-Benzenediol; Catechol	Cell Cycle		Inhibitor		Carcinogen; causes DNA strand breakage
4	11E	4	0	0	5	5	1	25		0			04	11E	SML0524	471.6014	ML277	(2R)-N-[4-(4-Methoxyphenyl)-1,3-thiazol-2-yl]-1-(4-methylphenyl)sulfonylpiperidine-2-carboxamide, (R)-N-(4-(4-Methoxyphenyl)thiazol-2-yl)-1-tosylpiperidine-2-carboxamide, CID-53347902, VU0458298-2, VU0458298-3	Ion Channels		Activator	KCNQ1 > KCNQ2, KCNQ4	Potent activator of KCNQ1 (Kv7.1) channels with >100-fold selectivity versus KCNQ2 and KCNQ4 and no activity against the hERG potassium channel.
4	11F	4	0	0	1	0	0	5		0			04	11F	A0487	526.65991	"Argatroban monohydrate 
"	(2R,4R)-1-[(2S)-5-[(Aminoiminomethyl)amino]-1-oxo-2-[[(1,2,3,4-tetrahydro-3-methyl-8-quinolinyl)sulfonyl]amino]pentyl]-4-methyl-2-piperidinecarboxylic Acid, Argipidine	Cell signaling	Enzyme	Inhibitor	Thrombin	"
Argatroban is a potent, seletive, univalent direct inhibitor of thrombin"
4	11G	4	0	4	0	0	0	1		0			04	11G	C9754	399.44765	Colchicine		Cytoskeleton and ECM		Inhibitor	Tubulin	Prevents tubulin polymerization
4	11H	4	0	0	0	0	0	20		0			04	11H	C9758	274.25393	L-Canavanine sulfate	L-alpha-Amino-gamma-(guanidinooxy)butyric acid sulfate	Nitric Oxide	Enzyme	Inhibitor	iNOS	Selective inhibitor of inducible nitric oxide synthase (iNOS)
5	2A	4	0	0	4	1	0.25	15	1	0.25	1		05	2A	C9847	389.88232	Cyclothiazide	6-Chloro-3,4-dihydro-3-(2-norbornen-5-yl)-2H-1,2-4-benzothiadiazine-7-sulfonamide 1,1-dioxide	Glutamate		Agonist	AMPA	Blocks the rapid desensitization of AMPA glutamate receptors 
5	2B	4	0	0	4	3	0.75	20		0	1		05	2B	C9901	349.39281	N6-Cyclohexyladenosine	CHA	Adenosine		Agonist	A1	Selective A1 adenosine receptor agonist
5	2C	4	1	1	2	0	0	20	0	0	0.666666667		05	2C	C9911	348.36152	(S)-(+)-Camptothecin		Apoptosis	Enzyme	Inhibitor	TopoI	DNA topoisomerase I inhibitor
5	2D	4	0	0	4	1	0.25	35	4	1	1		05	2D	Sml1173	390.47184	"Lubiprostone
"	(11a,15R)-11,15-epoxy-16,16-difluoro-15-hydroxy-9-oxo-prostan-1-oic acid; Ru 0211; Spi 0211	Ion Channels		Channel Activator	ClC-2 and CFTR 	Lubiprostone is a bicyclic fatty acid that activates ClC-2 and CFTR chloride channels
5	2E	4	0	1	3	3	1	30		0	0.75		05	2E	E9531	469.67313	Ebastine	1-[4-(1,1-Dimethylethyl)phenyl]-4-[4-(diphenylmethoxy)-1-piperidinyl]-1-butanone	Histaminergics		Antagonist	H1	Nonsedating histamine H1 receptor antagonist without cardiac side effects at 5X effective dose.
5	2F	4	0	0	4	2	0.5	40		0	1		05	2F	SMl0837	403.54473	"Benztropine mesylate 
"	"
Benzatropine mesylate, Benzotropine mesylate, Benztropine methanesulfonate 



"	Cell Signaling and Neuroscience		Antagonist	muscarinic acetylcholine receptor / DAT 	Benztropine mesylate is a centrally acting muscarinic acetylcholine receptor antagonist and dopamine transporter (DAT) inhibitor (IC50 = 118 nM). 
5	2G	4	0	0	4	2	0.5	30		0	1		05	2G	C101	304.39528	8-Cyclopentyl-1,3-dipropylxanthine	DPCPX; PD 116,948	Adenosine		Antagonist	A1	Selective A1 adenosine receptor antagonist
5	2H	4	0	0	4	1	0.25	10	3	0.75	1		05	2H	C102	248.28692	8-Cyclopentyl-1,3-dimethylxanthine	CPT; 8-Cyclopentyltheophylline	Adenosine		Antagonist	A1	Selective A1 adenosine receptor antagonist
5	3A	4	0	0	4	3	0.75	5		0	1		05	3A	SMl0937	547.67584	Darunavir    	"TMC-114, UIC-94017, [(1R,5S,6R)-2,8-dioxabicyclo[3.3.0]oct-6-yl] N-[(2S,3R)-4- [(4-?aminophenyl)sulfonyl- (2-methylpropyl)amino]-3-hydroxy-1-phenyl- butan-2-yl] 

"	Protease	Enzyme	Inhibitor	HIV protease	"Darunavir is a second-generation antiviral HIV protease inhibitor with broad spectrum activity. 
"
5	3B	4	0	0	4	2	0.5	10		0	1		05	3B	C106	450.42112	CGS-12066A maleate	7-Trifluoromethyl-4(4-methyl-1-piperazinyl)-pyrrolo[1,2-a]quinoxaline maleate	Serotonin		Agonist	5-HT1B	5-HT1B Serotonin receptor agonist
5	3C	4	0	1	3	0	0	25	2	0.666666667	0.75		05	3C	C108	207.74594	2-Cyclooctyl-2-hydroxyethylamine hydrochloride	CONH hydrochloride	Neurotransmission	Enzyme	Inhibitor	PNMT	Inhibitor of phenylethanolamine N-methyltransferase (PNMT)
5	3D	4	0	2	2	1	0.5	20	2	1	0.5	1 mouche est morte et bloating	05	3D	C117	319.31984	5-Carboxamidotryptamine maleate	5-CT; AH-21467	Serotonin		Agonist	5-HT7	5-HT7 Serotonin receptor agonist
5	3E	4	0	2	2	1	0.5	30	1	0.5	0.5	1 mouche est morte et bloating	05	3E	C3618	461.81994	Cetirizine dihydrochloride	[2-[4-[(4-Chlorophenyl)phenylmethyl]-1-piperazinyl]ethoxy]acetic acid dihydrochloride	Histamine		Antagonist	H1	Orally active, non-sedating, and selective H1 histamine receptor antagonist; antihistamine;.
5	3F	4	0	1	3	2	0.666666667	10		0	0.75		05	3F	C125	315.80274	(±)-CGP-12177A hydrochloride	"4-[4-[(1,1-Dimethylethyl)amino]-2-hydroxypropoxy]-
1,3-dihydro-2H-benzimidazol-2-one hydrochloride"	Adrenoceptor		Agonist	beta	Mixed beta adrenoceptor agonist/antagonist
5	3G	4	0	1	3	1	0.333333333	25	3	1	0.75		05	3G	C1335	226.23408	S-(-)-Carbidopa		Biochemistry	Enzyme	Inhibitor	L-aromatic amino acid decarboxylase	Peripherally active L-aromatic amino acid decarboxylase inhibitor; used in combination with levodopa for the treatment of Parkinson's Disease.
5	3H	4	0	0	4	1	0.25	1	3	0.75	1		05	3H	C130	410.74172	(±)-Chloro-APB hydrobromide	(±)-SKF-82958 hydrobromide	Dopamine		Agonist	D1	D1 dopamine receptor agonist.
5	4A	4	0	0	4	2	0.5	5		0	1		05	4A	C141	535.99185	CGS-21680 hydrochloride	2-p-(2-Carboxyethyl)phenethylamino-5'-N-ethylcarboxamidoadenosine hydrochloride	Adenosine		Agonist	A2a	A2a adenosine receptor agonist.
5	4B	4	0	0	4	1	0.25	10	1	0.25	1		05	4B	Y0503	320.26491	Y-27632 dihydrochloride	(R)-(+)-trans-4-(1-Aminoethyl)-N-(4-Pyridyl)cyclohexanecarboxamide dihydrochloride	Phosphorylation	Enzyme	Inhibitor	ROCK	"Highly potent, cell-permeable, and selective Rho-associated coiled-coil forming protein serine/threonine kinase (ROCK) inhibitor. Also inhibits ROCK-II with equal potency. The inhibition is competitiv
e with respect to ATP."
5	4C	4	0	1	3	2	0.666666667	15		0	0.75		05	4C	C144	248.11637	1-(m-Chlorophenyl)-biguanide hydrochloride	m-CPBG hydrochloride	Serotonin		Agonist	5-HT3	5-HT3 serotonergic receptor agonist
5	4D	4	0	2	2	1	0.5	10	2	1	0.5		05	4D	C145	629.55847	2-Chloroadenosine triphosphate tetrasodium	2-Chloro-ATP tetrasodium	P2 Receptor		Agonist	P2Y	P2Y receptor agonist
5	4E	4	0	1	3	2	0.666666667	15		0	0.75		05	4E	C147	271.40605	(+)-Cyclazocine		Opioid		Antagonist		Sigma opioid receptor antagonist
5	4F	4	0	0	4	2	0.5	20		0	1		05	4F	C191	376.90842	Capsazepine	"N-[2-(4-Chlorophenyl)ethyl]-1,3,4,5-tetrahydro-
7,8-dihydroxy-2H-2-benzazepine-2-carbothioamide"	Vanilloid		Agonist		Synthetic analog of capsaicin that acts as a specific vanilloid receptor antagonist
5	4G	4	0	0	4	2	0.5	35		0	1		05	4G	C192	273.74019	Chlormezanone	2-(4-Chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one 1,1-dioxide	Neurotransmission		Modulator	Muscle relaxant	Anxiolytic; muscle relaxant
5	4H	4	0	0	4	3	0.75	5		0	1		05	4H	C197	330.77655	8-(3-Chlorostyryl)caffeine	CSC	Adenosine		Antagonist	A2A	Selective A2A adenosine receptor antagonist
5	5A	4	0	0	4	2	0.5	35		0	1		05	5A	C199	285.69461	CGS-15943	9-Chloro-2-(2-furyl)[1,2,4]triazolo[1,5-c]quinazolin-5-amine	Adenosine		Antagonist	A1	Highly potent, non-selective A1 adenosine receptor antagonist
5	5B	4	0	1	3	2	0.666666667	20		0	0.75		05	5B	C203	198.60457	2-Chloro-2-deoxy-D-glucose	2-Chloro-DG	Biochemistry		Analog	Glucose	Analog of 2-fluoro-2-deoxyglucose
5	5C	4	0	1	3	3	1	20		0	0.75		05	5C	T0202	228.72394	Tocainide hydrochloride	2-Amino-N-(2,6-dimethylphenyl)propanamide hydrochloride	Na+ Channel		Blocker		Sodium channel blocker. Class IB antiarrhythmic.
5	5D	4	0	1	3	3	1	20		0	0.75		05	5D	C223	252.74624	Cirazoline hydrochloride	2-[(2-Cyclopropylphenoxy)methyl]-4,5-dihydro-1H-imidazole hydrochloride	Adrenoceptor		Agonist	alpha1A	Selective alpha1 adrenoceptor agonist; non-selective imidazoline binding site ligand
5	5E	4	0	1	3	0	0	35	3	1	0.75		05	5E	C231	590.57993	CGP 20712A methanesulfonate	(+/-)-2-Hydroxy-5-[2-[[2-hydroxy-3-[4-[1-methyl-4-(trifluoromethyl)-1H-imidazol-2-yl]phenoxy]propyl]amino]ethoxy]-benzamide methanesulfonate	Adrenoceptor		Antagonist	beta1	Selective beta1-adrenoceptor antagonist
5	5F	4	0	1	3	2	0.666666667	5		0	0.75		05	5F	SMl1040	209.67462	SCH-50911 	(+)-(2S)-5,5-Dimethyl-2-morpholineacetic acid hydrochloride	GABAergics		Antagonist	GABAB 	SCH-50911 is a selective, competitive, orally active GABAB receptor antagonist
5	5G	4	0	1	3	2	0.666666667	10		0	0.75		05	5G	C239	276.12029	CNQX disodium	6-Cyano-7-nitroquinoxaline-2,3-dione	Glutamate		Antagonist	AMPA/Kainate	Potent, competitive AMPA/kainate glutamate receptor antagonist
5	5H	4	0	0	4	3	0.75	10		0	1		05	5H	C271	247.29649	CX 546	1-(1,4-Benzodioxan-6-ylcarbonyl)piperidine	Glutamate		Modulator	AMPA	Positive AMPA glutamate receptor modulator; more potent than 1-BCP
5	6A	4	0	0	4	4	1	10		0	1		05	6A	SML0584	316.37875	NNGH	BML-205, N-Isobutyl-N-(4-methoxyphenylsulfonyl)glycyl hydroxamic acid	Extracellular Matrix	Enzyme	Inhibitor	MMP-3	Potent and cell-permeable inhibitor of matrix metalloproteinase 3 (MMP-3,stromelysin 1, progelatinase).
5	6B	4	0	1	3	2	0.666666667	10		0	0.75		05	6B	D0411	381.85983	WB-4101 hydrochloride	2-(2,6-Dimethoxyphenoxyethyl)aminomethyl-1,4-benzodioxane hydrochloride	Adrenoceptor		Antagonist	alpha1A	alpha1A Adrenoceptor antagonist
5	6C	4	0	1	3	3	1	10		0	0.75		05	6C	D0540	252.14428	DNQX	6,7-Dinitroquinoxaline-2,3-dione	Glutamate		Antagonist	Kainate/quisqualate	Potent, competitive kainate/quisqualate glutamate receptor antagonist
5	6D	4	0	2	2	2	1	10		0	0.5		05	6D	D0670	586.68277	Dihydroouabain		Ion Pump		Inhibitor	Na+/K+ Pump	Sodium-potassium pump inhibitor
5	6E	4	0	1	3	2	0.666666667	15		0	0.75		05	6E	D0676	337.84988	Dobutamine hydrochloride	(±)-4-[2-[[3-(4-Hydroxyphenyl)-1-methylpropyl]amino]ethyl]-1,2-benzenediol hydrochloride	Adrenoceptor		Agonist	beta1	beta1 Adrenoceptor agonist
5	6F	4	0	0	4	3	0.75	25		0	1		05	6F	D1064	215.25129	Dihydrokainic acid	2-Carboxy-4-isopropyl-3-pyrrolidineacetic acid	Glutamate		Blocker	Kainate	Non-transportable glutamate analog that blocks glutamate receptors
5	6G	4	0	0	4	2	0.5	6		0	1		05	6G	D1260	418.30266	Decamethonium dibromide	Decamethylene bis(trimethylammonium bromide)	Cholinergic		Agonist	Nicotinic	Nicotinic acetylcholine receptor partial agonist; depolarizing neuromuscular blocker
5	6H	4	0	0	4	2	0.5	10		0	1		05	6H	D1262	887.48879	P1,P4-Di(adenosine-5')tetraphosphate triammonium	Ap4A	Biochemistry		Inhibitor		Dinucleoside polyphosphate that competitively inhibits ADP-induced platelet aggregation
5	7A	4	0	0	4	1	0.25	10	4	1	1		05	7A	D1306	448.54796	Debrisoquin sulfate	3,4-Dihydro-2(1H)-isoquinolinecarboximidamide sulfate; Ro 5-33071	Neurotransmission		Antihypertensive		Antihypertensive; metabolized to tetrahydroisoquinoline (TIQ) which may play a role in the induction of Parkinson's Disease
5	7B	4	0	0	4	2	0.5	30		0	1		05	7B	D1413	224.21814	2',3'-didehydro-3'-deoxythymidine	2',3'-Anhydrothymidine; d4T	Immune System	Enzyme	Inhibitor	Reverse Transcriptase	Nucleoside analog; inhibits HIV replication in vitro
5	7C	4	0	0	4	3	0.75	15		0	1	1 mouche est GIGA-bloating	05	7C	D1414	379.43794	Droperidol	1-[1-[3-(p-Fluorobenzoyl)propyl]-1,2,3,6-tetrahydro-4-pyridyl]-2-benzimidazolinone	Dopamine		Antagonist	D1/D2	D1, D2 dopamine receptor antagonist
5	7D	4	0	0	4	2	0.5	20		0	1		05	7D	D1507	247.68038	L-3,4-Dihydroxyphenylalanine methyl ester hydrochloride	Methyl L-DOPA hydrochloride	Dopamine		Precursor		Precursor to L-DOPA that crosses the blood-brain barrier
5	7E	4	0	2	2	2	1	15		0	0.5		05	7E	D1542	169.60929	1,4-Dideoxy-1,4-imino-D-arabinitol	DAB; 2-Hydroxymethyl-3,4-pyrrolidinediol	Phosphorylation	Enzyme	Inhibitor	Glycogen phosphorylase	Allosteric glycogen phosphorylase inhibitor
5	7F	4	0	2	2	0	0	20	1	0.5	0.5		05	7F	"SMl1054
"	321.42296	"SBI-0087702    
"	"4-Methoxy-N-[2-(4-methoxyphenyl)ethyl]-1-naphthalenemethanamine 

"	"
Cell Signaling and Neuroscience"	Enzyme	Inhibitor	ATF2	SBI-0087702 promotes the cytoplasmic localization of ATF2 in melanoma cells
5	7G	4	0	0	4	4	1	15		0	1		05	7G	D1916	319.14644	D-ribofuranosylbenzimidazole	DRB; 5,6-Dichlorobenzimidazole riboside	Transcription		Inhibitor		Inhibitor of RNA synthesis; chain terminator
5	7H	4	0	0	4	3	0.75	10		0	1		05	7H	S4572	373.50514	SANT-1	(4-Benzyl-piperazin-1-yl)-(3,5-dimethyl-1-phenyl-1H-pyrazol-4-ylmethylene)-amine	Angiogensis		Inhibitor	Smo	Potent sonic hedgehog pathway (Shh) antagonist; inhibits by binding directly to smoothened (Smo) receptor.
5	8A	4	0	0	4	3	0.75	10		0	1		05	8A	D2521	450.98849	Diltiazem hydrochloride		Ca2+ Channel		Antagonist	L-type	Ca2+ channel antagonist selective for slow, or L-type, channels; stimulates 1,4-dihydropyridine binding to Ca2+ channels; coronary vasodilator
5	8B	4	0	1	3	1	0.333333333	10	3	1	0.75		05	8B	SMl1264	522.65572	Rosuvastatin calcium 	 (E)-7-[4-(4-Fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrim idin-5-yl]-(3R,5S)-3,5-dihydroxyhept-6-enoic acid, calcium salt (2:1), 	Cell Signaling and Neuroscience	Enzyme	Inhibitor	HMG-CoA	Rosuvastatin calcium is a competitive inhibitor of hydroxymethylglutaryl-coe?nzyme A (HMG-CoA) reductase
5	8C	4	0	1	3	2	0.666666667	5		0	0.75		05	8C	C3993	406.48582	Carvedilol	1-(9H-Carbazol-4-yloxy)-3-[[2-(2-methoxyphenoxy)ethyl]amino]-2-propanol	Adrenoceptor		Blocker	alpha1/beta	Antihypertensive; cardioprotective
5	8D	4	0	1	3	2	0.666666667	5		0	0.75		05	8D	D2763	679.79857	Dihydroergotamine methanesulfonate		Serotonin		Antagonist		Ergot alkaloid; vasoconstrictor; competitive serotonin receptor antagonist; partial agonist at alpha adrenoceptors and D2 dopamine receptors
5	8E	5	0	1	4	2	0.5	5		0	0.8	1 mouche est morte et bloating	05	8E	D2926	314.55496	Diphenyleneiodonium chloride	[1,1'-Biphenyl]-2,2'-diyiodonium chloride	Nitric Oxide	Enzyme	Inhibitor	eNOS	Endothelial nitric oxide synthase inhibitor
5	8F	4	0	1	3	2	0.666666667	30		0	0.75		05	8F	D3630	291.82399	Diphenhydramine hydrochloride		Histamine		Antagonist	H1	H1 Histamine receptor antagonist
5	8G	4	0	0	4	2	0.5	20		0	1		05	8G	D3634	86.09122	2,3-Butanedione	Biacetyl; BDM	Cytoskeleton and ECM	Enzyme	Inhibitor	Myosin ATPase	Reversible myosin ATPase inhibitor
5	8H	4	0	0	4	2	0.5	15		0	1		05	8H	D3648	172.18814	N,N,N',N'-Tetramethylazodicarboxamide	Azodicarboxylic acid bis(dimethylamide); diamide	Cell Stress		Modulator	Thiols	Thiol-oxidizing agent
5	9A	4	0	0	4	3	0.75	0		0	1	1 mouche est GIGA-bloating	05	9A	D3689	183.16523	(S)-3,5-Dihydroxyphenylglycine	S-DHPG	Glutamate		Agonist	mGluR1	Group I metabotropic glutamate receptor (mGluR1) agonist
5	9B	4	0	2	2	2	1	15		0	0.5		05	9B	D3768	527.5861	Dequalinium chloride hydrate	1,1'-Decamethylenebis(4-aminoquinaldinium) dichloride	K+ Channel		Blocker		Selective blocker of apamin-sensitive K+ channels
5	9C	4	0	1	3	2	0.666666667	15		0	0.75		05	9C	D3775	388.46771	Doxylamine succinate		Histamine		Antagonist	H1	H1 Histamine receptor antagonist
5	9D	3	0	2	1	1	1	15		0	0.333333333		05	9D	D3900	302.85041	Desipramine hydrochloride		Adrenoceptor		Inhibitor	Uptake	Antidepressant
5	9E	4	0	2	2	2	1	25		0	0.5		05	9E	M1777	177.2019	N-Methyl-1-deoxynojirimycin	1,5-Dideoxy-1,5-imino-1-methyl-D-sorbitol	Biochemistry	Enzyme	Inhibitor	Glucosidase	Interferes with metabolism of N-linked glycoproteins by inhibition of glucosidase
